date,state,prediction,predicted_delta_12,lag_12,value,baseline
2019-09-01,mississippi,104.42112482853224,-2.2578875171467763,106.67901234567901,160.0,108.0
2019-09-01,missouri,132.77914951989027,9.877914951989027,122.90123456790124,285.0,102.0
2019-09-01,montana,215.89986282578874,15.689986282578875,200.20987654320987,214.0,170.0
2019-09-01,mountain,3909.8134430727023,308.3813443072702,3601.432098765432,4487.0,3023.0
2019-09-01,nebraska,406.0192043895747,36.401920438957475,369.61728395061726,655.0,303.0
2019-09-01,nevada,792.8751714677641,64.8875171467764,727.9876543209876,832.0,613.0
2019-09-01,new_england,906.1728395061729,26.61728395061728,879.5555555555555,852.0,837.0
2019-09-01,new_hampshire,198.0960219478738,9.009602194787378,189.0864197530864,112.0,171.0
2019-09-01,new_jersey,176.57338820301783,8.857338820301784,167.71604938271605,174.0,150.0
2019-09-01,new_mexico,435.1604938271605,33.71604938271605,401.44444444444446,707.0,346.0
2019-09-01,new_york,443.94924554183814,11.294924554183815,432.65432098765433,497.0,395.0
2019-09-01,north_carolina,684.5006858710562,54.55006858710562,629.9506172839506,911.0,534.0
2019-09-01,north_dakota,869.3827160493827,60.93827160493827,808.4444444444445,969.0,676.0
2019-09-01,ohio,145.27160493827162,9.827160493827162,135.44444444444446,161.0,118.0
2019-09-01,oklahoma,2028.4526748971193,186.04526748971193,1842.4074074074074,2651.0,1524.0
2019-09-01,oregon,893.8271604938271,50.382716049382715,843.4444444444445,813.0,722.0
2019-09-01,pacific_contiguous,7216.065843621399,427.8065843621399,6788.259259259259,7030.0,5988.0
2019-09-01,pacific_noncontiguous,176.3443072702332,10.13443072702332,166.20987654320987,111.0,146.0
2019-09-01,pennsylvania,415.30727023319616,14.430727023319617,400.87654320987656,365.0,363.0
2019-09-01,rhode_island,24.08504801097394,1.2085048010973938,22.876543209876544,34.0,21.0
2019-09-01,south_atlantic,2498.676268861454,133.3676268861454,2365.3086419753085,3232.0,2142.0
2019-09-01,south_carolina,228.1289437585734,10.41289437585734,217.71604938271605,274.0,207.0
2019-09-01,south_dakota,410.6323731138546,37.163237311385465,373.46913580246917,247.0,305.0
2019-09-01,tennessee,93.8971193415638,1.4897119341563798,92.40740740740742,125.0,90.0
2019-09-01,texas,5310.813443072702,400.3813443072702,4910.432098765432,7020.0,4129.0
2019-09-01,utah,374.5130315500686,31.45130315500686,343.0617283950617,317.0,282.0
2019-09-01,vermont,69.71193415637859,2.971193415637859,66.74074074074073,78.0,61.0
2019-09-01,virginia,433.4732510288066,24.54732510288066,408.9259259259259,431.0,373.0
2019-09-01,washington,1055.5267489711935,63.45267489711934,992.074074074074,783.0,860.0
2019-09-01,west_north_central,6605.975308641975,532.1975308641975,6073.777777777777,7814.0,5099.0
2019-09-01,west_south_central,7670.008230452675,585.6008230452676,7084.407407407408,10009.0,5990.0
2019-09-01,west_virginia,83.00960219478736,3.7009602194787368,79.30864197530863,112.0,67.0
2019-09-01,wisconsin,236.09327846364883,8.809327846364884,227.28395061728395,220.0,208.0
2019-09-01,wyoming,350.5912208504801,22.15912208504801,328.4320987654321,386.0,276.0
2019-10-01,alabama,263.8120713305898,-1.7187928669410186,265.53086419753083,318.0,271.0
2019-10-01,alaska,32.67352537722908,3.167352537722908,29.506172839506174,17.0,24.0
2019-10-01,arizona,502.2798353909465,47.42798353909465,454.85185185185185,555.0,370.0
2019-10-01,arkansas,106.34019204389575,-2.165980795610425,108.50617283950618,106.0,112.0
2019-10-01,california,4775.504801097394,273.8504801097394,4501.6543209876545,4629.0,4015.0
2019-10-01,colorado,1111.458161865569,79.44581618655691,1032.0123456790122,1045.0,880.0
2019-10-01,connecticut,66.44307270233196,0.3443072702331954,66.09876543209876,66.0,65.0
2019-10-01,delaware,11.824417009602197,0.1824417009602196,11.641975308641976,10.0,11.0
2019-10-01,district_of_columbia,1.0,-1.0,2.0,5.0,4.0
2019-10-01,east_north_central,3114.4650205761313,215.94650205761315,2898.5185185185182,3188.0,2477.0
